Campanha,Conjunto_Anuncios,Anuncio,Status_Veiculacao,Nivel_Veiculacao,Config_Atribuicao,Tipo_Resultado,Resultados,Alcance,Impressoes,Custo_Resultado,Qualidade,Taxa_Engajamento,Taxa_Conversao,Investimento,Frequencia,Cliques_Link,CPC,Cliques_Link_Unicos,CTR_Unico,Custo_Clique_Unico,Cadastros,Custo_Cadastro,Inicio_Relatorios,Fim_Relatorios,CPA,Apelido
BINDER|FACEBOOK|CONVERSAO|SAUDE|LEAD|MASSIFICADO|WHATSAPP|SAUDE-PME-SUPER-MES,All,All,inactive,campaign,Clique de 7 dias ou visualização de 1 dia,Conversas por mensagem iniciadas,753.0,1178882,3081577,63.24,–,–,–,47619.23,2.61398257,5736.0,8.30181834,5522.0,0.4684099,5.48735077,52.0,915.75442308,2023-06-01,2023-11-30,915.7544230769232,WHATSAPP|SAUDE-PME-SUPER-MES
BINDER|FACEBOOK|CONVERSAO|SAUDE|LEAD|MASSIFICADO|WHATSAPP|SAUDE-PME-SUPER-MES,PME|SAUDE-PME|ABERTO,All,not_delivering,adset,Clique de 7 dias ou visualização de 1 dia,Conversas por mensagem iniciadas,592.0,1089286,2520328,63.97,–,–,–,37868.76,2.31374313,4567.0,8.29182395,4428.0,0.40650481,5.38980359,38.0,996.54631579,2023-06-01,2023-11-30,996.5463157894736,WHATSAPP|SAUDE-PME-SUPER-MES
BINDER|FACEBOOK|CONVERSAO|SAUDE|LEAD|MASSIFICADO|WHATSAPP|SAUDE-PME-SUPER-MES,PME|SAUDE-PME|ABERTO,WHATSAPP|FACA-PLANOS|CARROSSEL|FOTO-2-SUPER-MES-09-2023,inactive,ad,Clique de 7 dias ou visualização de 1 dia,Conversas por mensagem iniciadas,239.0,633350,1085102,62.25,–,–,–,14878.74,1.71327386,1477.0,10.07362221,1449.0,0.22878345,6.63636931,19.0,783.09157895,2023-06-01,2023-11-30,783.0915789473684,WHATSAPP|SAUDE-PME-SUPER-MES
BINDER|FACEBOOK|CONVERSAO|SAUDE|LEAD|MASSIFICADO|WHATSAPP|SAUDE-PME-SUPER-MES,PME|SAUDE-PME|ABERTO,WHATSAPP|FACA-PLANOS|CARROSSEL|FOTO-1-SUPER-MES-09-2023,inactive,ad,Clique de 7 dias ou visualização de 1 dia,Conversas por mensagem iniciadas,221.0,587649,906034,66.53,–,–,–,14703.97,1.54179451,1403.0,10.48037776,1384.0,0.23551474,7.47152947,10.0,1470.397,2023-06-01,2023-11-30,1470.397,WHATSAPP|SAUDE-PME-SUPER-MES
BINDER|FACEBOOK|CONVERSAO|SAUDE|LEAD|MASSIFICADO|WHATSAPP|SAUDE-PME-SUPER-MES,PME|SAUDE-PME|LOOKALIKE-LISTA-CRM-11-21,All,inactive,adset,Clique de 7 dias ou visualização de 1 dia,Conversas por mensagem iniciadas,152.0,304644,487705,56.45,–,–,–,8580.36,1.60090138,985.0,8.71102538,966.0,0.31709142,6.2676114,14.0,612.88285714,2023-06-01,2023-11-30,612.8828571428572,WHATSAPP|SAUDE-PME-SUPER-MES
BINDER|FACEBOOK|CONVERSAO|SAUDE|LEAD|MASSIFICADO|WHATSAPP|SAUDE-PME-SUPER-MES,PME|SAUDE-PME|LOOKALIKE-LISTA-CRM-11-21,WHATSAPP|FACA-PLANOS|CARROSSEL|FOTO-2-SUPER-MES-09-2023,inactive,ad,Clique de 7 dias ou visualização de 1 dia,Conversas por mensagem iniciadas,78.0,164193,230499,57.49,–,–,–,4483.84,1.40382964,462.0,9.70528139,452.0,0.27528579,7.16268371,11.0,407.62181818,2023-06-01,2023-11-30,407.6218181818182,WHATSAPP|SAUDE-PME-SUPER-MES
BINDER|FACEBOOK|CONVERSAO|SAUDE|LEAD|MASSIFICADO|WHATSAPP|SAUDE-PME-SUPER-MES,PME|SAUDE-PME|LOOKALIKE-LISTA-CRM-11-21,WHATSAPP|FACA-PLANOS|CARROSSEL|FOTO-1-SUPER-MES-09-2023,inactive,ad,Clique de 7 dias ou visualização de 1 dia,Conversas por mensagem iniciadas,47.0,146338,194592,59.3,–,–,–,2787.32,1.32974347,310.0,8.99135484,309.0,0.211155,6.32045351,3.0,929.10666667,2023-06-01,2023-11-30,929.1066666666668,WHATSAPP|SAUDE-PME-SUPER-MES
BINDER|FACEBOOK|CONVERSAO|SAUDE|LEAD|MASSIFICADO|WHATSAPP|SAUDE-PME-SUPER-MES,PME|SAUDE-PME|INTERESSE-MEI,All,not_delivering,adset,Clique de 7 dias ou visualização de 1 dia,Conversas por mensagem iniciadas,9.0,19348,73544,130.01,–,–,–,1170.11,3.80111639,184.0,6.35929348,179.0,0.92516022,3.76241158,0.0,,2023-06-01,2023-11-30,1170.11,WHATSAPP|SAUDE-PME-SUPER-MES
BINDER|FACEBOOK|CONVERSAO|SAUDE|LEAD|MASSIFICADO|WHATSAPP|SAUDE-PME-SUPER-MES,PME|SAUDE-PME|INTERESSE-MEI,WHATSAPP|FACA-PLANOS|CARROSSEL|FOTO-1-SUPER-MES-09-2023,inactive,ad,Clique de 7 dias ou visualização de 1 dia,Conversas por mensagem iniciadas,4.0,8359,16540,66.9,–,–,–,267.59,1.97870559,41.0,6.52658537,40.0,0.47852614,4.95537037,0.0,,2023-06-01,2023-11-30,267.59,WHATSAPP|SAUDE-PME-SUPER-MES
BINDER|FACEBOOK|CONVERSAO|SAUDE|LEAD|MASSIFICADO|WHATSAPP|SAUDE-PME-SUPER-MES,PME|SAUDE-PME|INTERESSE-MEI,WHATSAPP|FACA-PLANOS|CARROSSEL|FOTO-2-SUPER-MES-09-2023,inactive,ad,Clique de 7 dias ou visualização de 1 dia,Conversas por mensagem iniciadas,1.0,7335,14354,218.02,–,–,–,218.02,1.95691888,26.0,8.38538462,26.0,0.35446489,3.82491228,0.0,,2023-06-01,2023-11-30,218.02,WHATSAPP|SAUDE-PME-SUPER-MES
BINDER|FACEBOOK|CONVERSAO|SAUDE|LEAD|MASSIFICADO|WHATSAPP|SAUDE-PME,All,All,inactive,campaign,Clique de 7 dias ou visualização de 1 dia,Conversas por mensagem iniciadas,934.0,586560,1345947,31.96,–,–,–,29845.98,2.29464505,3524.0,8.46934733,3416.0,0.58237861,5.29747604,1.0,29845.98,2023-06-01,2023-11-30,29845.98,WHATSAPP|SAUDE-PME
BINDER|FACEBOOK|CONVERSAO|SAUDE|LEAD|MASSIFICADO|WHATSAPP|SAUDE-PME,PME|SAUDE-PME|ABERTO,All,not_delivering,adset,Clique de 7 dias ou visualização de 1 dia,Conversas por mensagem iniciadas,672.0,522896,1078309,33.16,–,–,–,22283.32,2.06218636,2708.0,8.22870015,2625.0,0.50201187,5.06208996,1.0,22283.32,2023-06-01,2023-11-30,22283.32,WHATSAPP|SAUDE-PME
BINDER|FACEBOOK|CONVERSAO|SAUDE|LEAD|MASSIFICADO|WHATSAPP|SAUDE-PME,PME|SAUDE-PME|ABERTO,WHATSAPP|FACA-PLANOS|CARROSSEL|OBTER-COTACAO-COM-WHATS-05-2023,inactive,ad,Clique de 7 dias ou visualização de 1 dia,Conversas por mensagem iniciadas,78.0,101200,149744,38.52,–,–,–,3004.92,1.47968379,330.0,9.10581818,322.0,0.31818182,5.82348837,1.0,3004.92,2023-06-01,2023-11-30,3004.92,WHATSAPP|SAUDE-PME
BINDER|FACEBOOK|CONVERSAO|SAUDE|LEAD|MASSIFICADO|WHATSAPP|SAUDE-PME,PME|SAUDE-PME|ABERTO,WHATSAPP|FACA-PLANOS|CARROSSEL|OBTER-COTACAO-SEM-WHATS-05-2023,inactive,ad,Clique de 7 dias ou visualização de 1 dia,Conversas por mensagem iniciadas,9.0,7640,8994,24.56,–,–,–,221.02,1.17722513,22.0,10.04636364,21.0,0.27486911,5.97351351,0.0,,2023-06-01,2023-11-30,221.02,WHATSAPP|SAUDE-PME
BINDER|FACEBOOK|CONVERSAO|SAUDE|LEAD|MASSIFICADO|WHATSAPP|SAUDE-PME,PME|SAUDE-PME|LOOKALIKE-PIXEL-LEAD,All,not_delivering,adset,Clique de 7 dias ou visualização de 1 dia,Conversas por mensagem iniciadas,219.0,139077,267638,34.53,–,–,–,7562.66,1.92438721,816.0,9.26796569,787.0,0.56587358,5.90832812,0.0,,2023-06-01,2023-11-30,7562.66,WHATSAPP|SAUDE-PME
BINDER|FACEBOOK|CONVERSAO|SAUDE|LEAD|MASSIFICADO|WHATSAPP|SAUDE-PME,PME|SAUDE-PME|LOOKALIKE-PIXEL-LEAD,WHATSAPP|FACA-PLANOS|CARROSSEL|OBTER-COTACAO-COM-WHATS-05-2023,inactive,ad,Clique de 7 dias ou visualização de 1 dia,Conversas por mensagem iniciadas,30.0,27417,37561,30.9,–,–,–,927.1,1.36998942,111.0,8.35225225,106.0,0.38662144,6.02012987,0.0,,2023-06-01,2023-11-30,927.1,WHATSAPP|SAUDE-PME
BINDER|FACEBOOK|CONVERSAO|SAUDE|LEAD|MASSIFICADO|WHATSAPP|SAUDE-PME,PME|SAUDE-PME|LOOKALIKE-PIXEL-LEAD,WHATSAPP|FACA-PLANOS|CARROSSEL|OBTER-COTACAO-SEM-WHATS-05-2023,inactive,ad,Clique de 7 dias ou visualização de 1 dia,Conversas por mensagem iniciadas,1.0,1443,1794,44.33,–,–,–,44.33,1.24324324,6.0,7.38833333,6.0,0.41580042,5.54125,0.0,,2023-06-01,2023-11-30,44.33,WHATSAPP|SAUDE-PME
BINDER|FACEBOOK|CONVERSAO|SAUDE|LEAD|MASSIFICADO|WHATSAPP|SAUDE-PME,PME|SAUDE-PME|LOOKALIKE-LISTA-CRM-11-21,All,inactive,adset,Clique de 7 dias ou visualização de 1 dia,Conversas por mensagem iniciadas,1.0,0,0,0.0,–,–,–,0.0,0.0,0.0,,,,,0.0,,2023-06-01,2023-11-30,0.0,WHATSAPP|SAUDE-PME
BINDER|FACEBOOK|CONVERSAO|SAUDE|LEAD|MASSIFICADO|WHATSAPP|SAUDE-PME,PME|SAUDE-PME|LOOKALIKE-LISTA-CRM-11-21,WHATSAPP|FACA-PLANOS|CARROSSEL|OBTER-COTACAO-COM-WHATS-05-2023,inactive,ad,Clique de 7 dias ou visualização de 1 dia,Conversas por mensagem iniciadas,1.0,0,0,0.0,–,–,–,0.0,0.0,0.0,,,,,0.0,,2023-06-01,2023-11-30,0.0,WHATSAPP|SAUDE-PME
BINDER|FACEBOOK|CONVERSAO|SAUDE|LEAD|MASSIFICADO|WHATSAPP|SAUDE-PME,PME|SAUDE-PME|INTERESSE-MEI,All,inactive,adset,Clique de 7 dias ou visualização de 1 dia,Conversas por mensagem iniciadas,4.0,0,0,0.0,–,–,–,0.0,0.0,0.0,,,,,0.0,,2023-06-01,2023-11-30,0.0,WHATSAPP|SAUDE-PME
BINDER|FACEBOOK|CONVERSAO|SAUDE|LEAD|MASSIFICADO|WHATSAPP|SAUDE-PME,PME|SAUDE-PME|INTERESSE-MEI,WHATSAPP|FACA-PLANOS|CARROSSEL|OBTER-COTACAO-COM-WHATS-05-2023,inactive,ad,Clique de 7 dias ou visualização de 1 dia,Conversas por mensagem iniciadas,1.0,0,0,0.0,–,–,–,0.0,0.0,0.0,,,,,0.0,,2023-06-01,2023-11-30,0.0,WHATSAPP|SAUDE-PME
BINDER|FACEBOOK|CONVERSAO|SAUDE|LEAD|MASSIFICADO|WHATSAPP|SAUDE-PME,PME|SAUDE-PME|LOOKALIKE-MIX-LEADS,All,inactive,adset,Clique de 7 dias ou visualização de 1 dia,Conversas por mensagem iniciadas,38.0,0,0,0.0,–,–,–,0.0,0.0,0.0,,,,,0.0,,2023-06-01,2023-11-30,0.0,WHATSAPP|SAUDE-PME
BINDER|FACEBOOK|CONVERSAO|SAUDE|LEAD|MASSIFICADO|WHATSAPP|SAUDE-PME,PME|SAUDE-PME|LOOKALIKE-MIX-LEADS,WHATSAPP|FACA-PLANOS|CARROSSEL|OBTER-COTACAO-SEM-WHATS-05-2023,inactive,ad,Clique de 7 dias ou visualização de 1 dia,Conversas por mensagem iniciadas,1.0,0,0,0.0,–,–,–,0.0,0.0,0.0,,,,,0.0,,2023-06-01,2023-11-30,0.0,WHATSAPP|SAUDE-PME
BINDER|FACEBOOK|CONVERSAO|SAUDE|LEAD|MASSIFICADO|WHATSAPP|SAUDE-PME,PME|SAUDE-PME|LOOKALIKE-MIX-LEADS,WHATSAPP|FACA-PLANOS|CARROSSEL|OBTER-COTACAO-COM-WHATS-05-2023,inactive,ad,Clique de 7 dias ou visualização de 1 dia,Conversas por mensagem iniciadas,14.0,0,0,0.0,–,–,–,0.0,0.0,0.0,,,,,0.0,,2023-06-01,2023-11-30,0.0,WHATSAPP|SAUDE-PME
BINDER|FACEBOOK|BRANDING|PROJETOS|ALCANCE|MUDE1HABITO|2023-JUNHO,All,All,completed,campaign,Clique de 7 dias ou visualização de 1 dia,Alcance,2859013.0,2859013,13014716,8.79,–,–,–,25125.13,4.55217098,4653.0,5.39977004,4653.0,0.16274847,1.56037325,0.0,,2023-06-01,2023-11-30,25125.13,MUDE1HABITO|2023-JUNHO
BINDER|FACEBOOK|BRANDING|PROJETOS|ALCANCE|MUDE1HABITO|2023-JUNHO,GERAL|IDENTIFICACAO|05-06-AUTOMEDICACAO-IG,All,completed,adset,Clique de 7 dias ou visualização de 1 dia,Alcance,1519381.0,1519381,1541370,2.04,–,–,–,3100.0,1.01447234,252.0,12.3015873,251.0,0.01651989,3.52673493,0.0,,2023-06-01,2023-11-30,3100.0,MUDE1HABITO|2023-JUNHO
BINDER|FACEBOOK|BRANDING|PROJETOS|ALCANCE|MUDE1HABITO|2023-JUNHO,GERAL|IDENTIFICACAO|05-06-AUTOMEDICACAO-IG,CARROSSEL|HABITOS|05-06-AUTOMEDICACAO-IG,inactive,ad,Clique de 7 dias ou visualização de 1 dia,Alcance,1519381.0,1519381,1541370,2.04,–,–,–,3100.0,1.01447234,252.0,12.3015873,251.0,0.01651989,3.52673493,0.0,,2023-06-01,2023-11-30,3100.0,MUDE1HABITO|2023-JUNHO
BINDER|FACEBOOK|BRANDING|PROJETOS|ALCANCE|MUDE1HABITO|2023-JUNHO,GERAL|PRIMEIRO-PASSO|23-06-DIA-DO-YOGA-IG,All,completed,adset,Clique de 7 dias ou visualização de 1 dia,Alcance,857088.0,857088,870197,2.57,–,–,–,2200.0,1.01529481,191.0,11.51832461,190.0,0.02216809,4.11985019,0.0,,2023-06-01,2023-11-30,2200.0,MUDE1HABITO|2023-JUNHO
BINDER|FACEBOOK|BRANDING|PROJETOS|ALCANCE|MUDE1HABITO|2023-JUNHO,GERAL|PRIMEIRO-PASSO|23-06-DIA-DO-YOGA-IG,CARROSSEL|HABITOS|23-06-DIA-DO-YOGA-IG,inactive,ad,Clique de 7 dias ou visualização de 1 dia,Alcance,857088.0,857088,870197,2.57,–,–,–,2200.0,1.01529481,191.0,11.51832461,190.0,0.02216809,4.11985019,0.0,,2023-06-01,2023-11-30,2200.0,MUDE1HABITO|2023-JUNHO
BINDER|FACEBOOK|BRANDING|PROJETOS|ALCANCE|MUDE1HABITO|2023-JUNHO,GERAL|PRIMEIRO-PASSO|27-06-LUIZA-ZAIDAN-MAIONESE-TEMPERADA-STORY-IG,All,completed,adset,Clique de 7 dias ou visualização de 1 dia,Alcance,836244.0,836244,847233,2.39,–,–,–,2000.0,1.0131409,643.0,3.11041991,643.0,0.07689143,2.3923445,0.0,,2023-06-01,2023-11-30,2000.0,MUDE1HABITO|2023-JUNHO
BINDER|FACEBOOK|BRANDING|PROJETOS|ALCANCE|MUDE1HABITO|2023-JUNHO,GERAL|PRIMEIRO-PASSO|27-06-LUIZA-ZAIDAN-MAIONESE-TEMPERADA-STORY-IG,VIDEO|HABITOS|27-06-LUIZA-ZAIDAN-MAIONESE-TEMPERADA-STORY-IG,inactive,ad,Clique de 7 dias ou visualização de 1 dia,Alcance,836244.0,836244,847233,2.39,–,–,–,2000.0,1.0131409,643.0,3.11041991,643.0,0.07689143,2.3923445,0.0,,2023-06-01,2023-11-30,2000.0,MUDE1HABITO|2023-JUNHO
BINDER|FACEBOOK|BRANDING|PROJETOS|ALCANCE|MUDE1HABITO|2023-JUNHO,GERAL|IDENTIFICACAO|17-06-FEBRE-MACULOSA-IG,All,completed,adset,Clique de 7 dias ou visualização de 1 dia,Alcance,791534.0,791534,791534,2.15,–,–,–,1700.0,1.0,260.0,6.53846154,254.0,0.03208959,2.88624788,0.0,,2023-06-01,2023-11-30,1700.0,MUDE1HABITO|2023-JUNHO
BINDER|FACEBOOK|BRANDING|PROJETOS|ALCANCE|MUDE1HABITO|2023-JUNHO,GERAL|IDENTIFICACAO|17-06-FEBRE-MACULOSA-IG,CARROSSEL|HABITOS|17-06-FEBRE-MACULOSA-IG,inactive,ad,Clique de 7 dias ou visualização de 1 dia,Alcance,791534.0,791534,791534,2.15,–,–,–,1700.0,1.0,260.0,6.53846154,254.0,0.03208959,2.88624788,0.0,,2023-06-01,2023-11-30,1700.0,MUDE1HABITO|2023-JUNHO
BINDER|FACEBOOK|BRANDING|PROJETOS|ALCANCE|MUDE1HABITO|2023-JUNHO,GERAL|PRIMEIRO-PASSO|08-06-THAISA-LEAL-BOMBOM-FIT-IG,All,completed,adset,Clique de 7 dias ou visualização de 1 dia,Alcance,795405.0,795405,797410,1.66,–,–,–,1320.0,1.00252073,252.0,5.23809524,250.0,0.03143053,2.48120301,0.0,,2023-06-01,2023-11-30,1320.0,MUDE1HABITO|2023-JUNHO
BINDER|FACEBOOK|BRANDING|PROJETOS|ALCANCE|MUDE1HABITO|2023-JUNHO,GERAL|PRIMEIRO-PASSO|08-06-THAISA-LEAL-BOMBOM-FIT-IG,VIDEO|HABITOS|08-06-THAISA-LEAL-BOMBOM-FIT-IG,inactive,ad,Clique de 7 dias ou visualização de 1 dia,Alcance,795405.0,795405,797410,1.66,–,–,–,1320.0,1.00252073,252.0,5.23809524,250.0,0.03143053,2.48120301,0.0,,2023-06-01,2023-11-30,1320.0,MUDE1HABITO|2023-JUNHO
BINDER|FACEBOOK|BRANDING|PROJETOS|ALCANCE|MUDE1HABITO|2023-JUNHO,GERAL|PRIMEIRO-PASSO|21-06-LUIZA-ZAIDAN-PACOCA-SAUDAVEL-STORY-IG,All,completed,adset,Clique de 7 dias ou visualização de 1 dia,Alcance,724855.0,724855,729014,1.82,–,–,–,1320.0,1.0057377,494.0,2.67206478,493.0,0.0680136,2.05607477,0.0,,2023-06-01,2023-11-30,1320.0,MUDE1HABITO|2023-JUNHO
BINDER|FACEBOOK|BRANDING|PROJETOS|ALCANCE|MUDE1HABITO|2023-JUNHO,GERAL|PRIMEIRO-PASSO|21-06-LUIZA-ZAIDAN-PACOCA-SAUDAVEL-STORY-IG,VIDEO|HABITOS|21-06-LUIZA-ZAIDAN-PACOCA-SAUDAVEL-STORY-IG,inactive,ad,Clique de 7 dias ou visualização de 1 dia,Alcance,724855.0,724855,729014,1.82,–,–,–,1320.0,1.0057377,494.0,2.67206478,493.0,0.0680136,2.05607477,0.0,,2023-06-01,2023-11-30,1320.0,MUDE1HABITO|2023-JUNHO
BINDER|FACEBOOK|BRANDING|PROJETOS|ALCANCE|MUDE1HABITO|2023-JUNHO,GERAL|PRIMEIRO-PASSO|21-06-LUIZA-ZAIDAN-PACOCA-SAUDAVEL-IG,All,completed,adset,Clique de 7 dias ou visualização de 1 dia,Alcance,607267.0,607267,607267,1.98,–,–,–,1200.0,1.0,160.0,7.5,160.0,0.02634755,2.83687943,0.0,,2023-06-01,2023-11-30,1200.0,MUDE1HABITO|2023-JUNHO
BINDER|FACEBOOK|BRANDING|PROJETOS|ALCANCE|MUDE1HABITO|2023-JUNHO,GERAL|PRIMEIRO-PASSO|21-06-LUIZA-ZAIDAN-PACOCA-SAUDAVEL-IG,VIDEO|HABITOS|21-06-LUIZA-ZAIDAN-PACOCA-SAUDAVEL-IG,inactive,ad,Clique de 7 dias ou visualização de 1 dia,Alcance,607267.0,607267,607267,1.98,–,–,–,1200.0,1.0,160.0,7.5,160.0,0.02634755,2.83687943,0.0,,2023-06-01,2023-11-30,1200.0,MUDE1HABITO|2023-JUNHO
BINDER|FACEBOOK|BRANDING|PROJETOS|ALCANCE|MUDE1HABITO|2023-JUNHO,GERAL|PRIMEIRO-PASSO|01-06-THIAGO-SODRE-HAMBURGUER-IG,All,completed,adset,Clique de 7 dias ou visualização de 1 dia,Alcance,358017.0,358017,359480,2.85,–,–,–,1020.0,1.0040864,186.0,5.48387097,184.0,0.05139421,2.46973366,0.0,,2023-06-01,2023-11-30,1020.0,MUDE1HABITO|2023-JUNHO
BINDER|FACEBOOK|BRANDING|PROJETOS|ALCANCE|MUDE1HABITO|2023-JUNHO,GERAL|PRIMEIRO-PASSO|01-06-THIAGO-SODRE-HAMBURGUER-IG,VIDEO|HABITOS|01-06-THIAGO-SODRE-HAMBURGUER-IG,inactive,ad,Clique de 7 dias ou visualização de 1 dia,Alcance,358017.0,358017,359480,2.85,–,–,–,1020.0,1.0040864,186.0,5.48387097,184.0,0.05139421,2.46973366,0.0,,2023-06-01,2023-11-30,1020.0,MUDE1HABITO|2023-JUNHO
BINDER|FACEBOOK|BRANDING|PROJETOS|ALCANCE|MUDE1HABITO|2023-JUNHO,GERAL|IDENTIFICACAO|17-07-CUIDADOS-COM-A-PELE-STORY-IG,All,completed,adset,Clique de 7 dias ou visualização de 1 dia,Alcance,642690.0,642690,645149,1.56,–,–,–,1000.0,1.00382611,386.0,2.59067358,386.0,0.06006006,1.84501845,0.0,,2023-06-01,2023-11-30,1000.0,MUDE1HABITO|2023-JUNHO
